index,urlkey,timestamp,url,mime,mime-detected,status,digest,length,offset,filename,languages,encoding,redirect,truncated,index_name,success_status,html
0,"nl,slotzuylen)/",20241111092259,https://slotzuylen.nl/,text/html,text/html,200,IWXCK7VPZIEJ35NOUNBZQVJNRKYB4NXW,21763,496519699,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00012.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
26,"nl,slotzuylen)/category/webshops",20241111101520,https://slotzuylen.nl/category/webshops/,text/html,text/html,200,IWVVUF6T6OBVZITQC7TBTTRRNBD24KNL,17600,492438280,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00053.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
25,"nl,slotzuylen)/bezoek-en-info",20241111102115,https://slotzuylen.nl/bezoek-en-info/,text/html,text/html,200,T25BUAKIMQLOXRPAUAQBMCJ2JDZC4YVG,21997,491956774,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00464.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
6,"nl,slotzuylen)/agenda/christmas-high-tea-slot-zuylen/2024-12-15",20241111112230,http://slotzuylen.nl/agenda/christmas-high-tea-slot-zuylen/2024-12-15/,text/html,text/html,301,LGGT76I5HYSS6HQT36GPANELE4H7FWR7,613,975928,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/crawldiagnostics/CC-MAIN-20241111091854-20241111121854-00404.warc.gz,,,https://slotzuylen.nl/agenda/christmas-high-tea-slot-zuylen/2024-12-15/,,CC-MAIN-2024-46,not processed,
27,"nl,slotzuylen)/collectie",20241111112140,https://slotzuylen.nl/collectie/,text/html,text/html,200,WGDZWDYMQKLZNQYIPE2TTMQ4IGTR3HHX,22504,494076604,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00001.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
41,"nl,slotzuylen)/robots.txt",20241103005443,https://slotzuylen.nl/robots.txt,text/plain,text/x-robots,200,7J4LGWJKIEH6FKPFYO3FYDWETCYEISJY,649,1147182,crawl-data/CC-MAIN-2024-46/segments/1730477027768.43/robotstxt/CC-MAIN-20241102231001-20241103021001-00763.warc.gz,,,,,CC-MAIN-2024-46,not processed,
28,"nl,slotzuylen)/contact",20241111093837,https://slotzuylen.nl/contact/,text/html,text/html,200,K3XMG2WBAYHAOHYMGKT6GQORZR5RMUSQ,19548,495011937,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00191.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
52,"nl,slotzuylen)/wp-content/uploads/2024/10/anbi-formulier-vrienden-slot-zuylen-2023-v2.pdf",20241111114405,https://slotzuylen.nl/wp-content/uploads/2024/10/ANBI-formulier-Vrienden-Slot-Zuylen-2023-v2.pdf,application/pdf,application/pdf,200,F2QJJG2KKQOTJTWLG5SLVQCICFBUZQ64,74346,490159921,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00168.warc.gz,,,,,CC-MAIN-2024-46,not processed,
51,"nl,slotzuylen)/tours-rondleidingen",20241111103708,https://slotzuylen.nl/tours-rondleidingen/,text/html,text/html,200,GWGETJ46HSXNUAZWHE4TWSFA7PUWCHRN,21826,493963428,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00413.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
50,"nl,slotzuylen)/tag/demulticultuur-nl",20241111105753,https://slotzuylen.nl/tag/demulticultuur-nl/,text/html,text/html,200,MF7RRWWXAAU73HCLFCCV2CBUCVOSL7UV,17608,503904846,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/warc/CC-MAIN-20241111091854-20241111121854-00389.warc.gz,nld,UTF-8,,,CC-MAIN-2024-46,not processed,
